UserID,Easy,Medium,Hard,Topics,T1 Easy,T1 Medium,T1 Hard,Tn_Level,Accuracy,No Of Attempts,Time Taken,Contest Rank,ContestID,Contest Weightage
U0001,165,15,18,12,1,3,3,365959,76.05,16,287,93,contest@0001,51-100
U0002,45,67,34,14,3,1,2,704787,90.34,13,100,77,contest@0002,1-10
U0003,173,68,78,20,2,4,1,625019,82.38,18,77,94,contest@0003,1-10
U0004,97,65,60,17,4,5,4,124389,77.95,2,369,65,contest@0004,21-50
U0005,193,40,29,3,4,3,4,623685,59.47,6,169,27,contest@0005,1-10
U0006,116,54,57,14,1,1,5,468413,78.42,1,17,67,contest@0006,21-50
U0007,155,63,47,10,1,4,2,688531,59.19,9,75,7,contest@0007,51-100
U0008,147,92,13,3,4,1,3,960542,99.83,19,11,41,contest@0008,1-10
U0009,159,20,25,8,5,2,2,528346,76.12,11,216,26,contest@0009,1-10
U0010,122,88,45,13,5,4,2,220951,80.9,4,360,26,contest@0010,21-50
U0011,105,96,21,10,1,3,2,723500,51.22,3,299,88,contest@0011,51-100
U0012,80,54,62,11,3,2,3,392435,93.19,2,276,3,contest@0012,1-10
U0013,130,70,42,4,3,3,1,530229,80.51,20,333,73,contest@0013,51-100
U0014,146,44,39,18,2,3,2,684315,97.64,1,492,3,contest@0014,1-10
U0015,159,54,100,7,1,3,2,267024,63.85,10,26,40,contest@0015,11-20
U0016,78,69,20,7,2,5,1,594890,70.88,5,435,77,contest@0016,21-50
U0017,160,92,48,12,2,2,5,549501,97.75,9,390,94,contest@0017,21-50
U0018,56,97,44,3,4,3,2,463238,75.08,19,97,31,contest@0018,11-20
U0019,143,74,23,8,2,2,2,638564,64.17,11,423,12,contest@0019,21-50
U0020,192,10,80,13,2,4,4,116754,71.51,4,259,27,contest@0020,51-100
U0021,128,57,35,5,5,1,5,196663,85.73,10,471,27,contest@0021,51-100
U0022,90,39,6,12,4,4,2,495503,64.81,15,396,70,contest@0022,11-20
U0023,78,75,44,20,2,3,5,217546,97.92,12,210,72,contest@0023,51-100
U0024,108,53,65,5,4,3,3,721023,96.17,17,402,79,contest@0024,11-20
U0025,200,8,6,7,1,3,3,406077,54.32,17,284,98,contest@0025,51-100
U0026,197,67,29,5,5,2,2,441377,65.08,9,17,16,contest@0026,21-50
U0027,191,85,66,12,5,4,4,864956,76.34,9,367,37,contest@0027,11-20
U0028,121,72,42,8,4,1,5,876799,82.79,17,304,7,contest@0028,11-20
U0029,147,25,77,20,4,1,3,740675,70.98,9,324,90,contest@0029,51-100
U0030,103,73,80,13,1,4,2,855035,96.51,17,271,69,contest@0030,1-10
U0031,19,59,100,10,1,2,2,838532,82.03,14,133,5,contest@0031,51-100
U0032,164,13,58,5,2,1,1,750772,98.8,13,9,91,contest@0032,21-50
U0033,131,85,9,13,4,2,4,999886,99.88,8,375,67,contest@0033,21-50
U0034,143,26,99,18,1,4,2,482188,95.54,2,146,65,contest@0034,11-20
U0035,102,42,86,17,3,2,1,112283,51.06,17,45,14,contest@0035,1-10
