UserID,No. Of Contests,No. of Questions,Easy,Medium,Hard,Topics,T1 Easy,T1 Medium,T1 Hard,Tn_Level,Accuracy,No Of Attempts,Time Taken,Platform Rank
U0001,16,361,19,94,75,8,4,2,3,533422,71.54,10,22,N1
U0002,11,293,65,10,49,10,3,1,2,475446,94.9,11,43,N3
U0003,10,228,39,92,94,3,2,1,2,734520,88.45,17,94,N2
U0004,11,182,113,77,96,9,1,3,4,953922,57.81,6,288,N2
U0005,17,125,129,19,13,9,3,1,2,427404,75.38,9,57,N1
U0006,4,413,125,65,92,6,3,3,3,896204,89.04,4,475,N1
U0007,5,116,55,33,10,4,4,1,5,847686,77.42,8,71,N2
U0008,3,437,138,90,60,18,2,3,4,830760,75.85,13,490,N5
U0009,6,174,38,56,58,20,5,5,4,122011,50.38,13,476,N2
U0010,3,196,66,74,90,5,1,5,4,671757,62.32,15,494,N1
U0011,9,293,16,24,96,16,4,3,5,578777,61.61,5,162,N4
U0012,12,76,85,73,82,7,1,2,3,422007,91.1,5,154,N5
U0013,18,427,143,88,13,11,1,3,3,271019,64.12,3,133,N5
U0014,16,368,24,51,24,12,2,3,5,692706,68.56,16,240,N2
U0015,7,208,118,31,53,16,4,2,4,448807,50.25,7,272,N5
U0016,15,495,92,5,37,8,3,2,1,608960,89.27,20,128,N5
U0017,20,151,33,89,43,7,5,2,4,901624,59.68,11,134,N4
U0018,2,483,55,82,97,13,3,3,5,650831,85.02,19,298,N4
U0019,17,165,111,32,29,9,1,3,5,993096,79.51,11,190,N2
U0020,19,400,86,65,31,17,4,3,4,190676,68.62,20,136,N2
U0021,15,172,107,72,53,15,1,3,2,825009,54.61,7,369,N1
U0022,15,92,121,25,100,15,2,5,4,535023,89.76,19,257,N1
U0023,18,372,95,60,49,4,5,4,5,683871,94.15,11,417,N4
U0024,20,276,100,78,13,11,2,2,1,342413,78.73,18,106,N4
U0025,13,395,119,97,6,8,1,3,5,787192,86.47,3,88,N4
U0026,20,409,166,11,76,19,1,5,1,564075,90.55,19,215,N3
U0027,20,303,195,82,99,9,3,4,2,207178,60.46,9,326,N5
U0028,2,240,150,74,42,12,3,3,1,923338,72.29,16,32,N5
U0029,2,59,70,45,94,4,1,3,5,542452,56.78,18,220,N2
U0030,6,283,31,10,34,17,1,4,3,778280,51.44,3,180,N1
U0031,1,436,53,37,15,9,3,3,3,591555,71.34,5,387,N2
U0032,18,191,31,29,48,19,1,1,4,532666,91.69,2,106,N3
U0033,2,337,169,9,25,19,5,1,2,191101,91.68,16,459,N5
U0034,19,352,39,96,88,17,3,1,1,324329,89.99,5,153,N2
U0035,14,132,13,61,59,11,1,5,5,115980,60.89,7,472,N4
U0036,9,299,89,5,17,6,4,4,4,775886,61.25,11,312,N3
